count,min,mean,50,75,95,99,999,max
1,5667388,11295180.45,10875227,12813948,17632015.8,24342429.48,24579233,24579233
3,5508153,10843853.92,10837813.33,12404847.33,15662030.27,23201814.64,23928128,23928128
5,5140095.4,10464493.38,10171846.6,12167972,16764780.32,23935035.07,24531215.8,24531215.8
7,4747183.429,10598669.72,9994428.143,12385512.82,17343467.08,29253299.72,30849093,30849093
9,4225548.667,10273015.51,9555680.667,12078584.97,17162654.44,26588692.51,27560618.89,27560618.89
11,4605197.545,9948543.24,9227300.273,11729146.18,16935023.55,28482209.37,30181870.91,30181870.91
13,4611003.462,10192900.61,8979328.038,11783772.79,19082681.58,29691412.65,30305051.77,30305051.77
15,4506599.6,10132230.11,9055426.833,11824482.37,18993476.76,27736148.97,28454218.93,28454218.93
17,4432957.647,10346888.24,9087865.029,11949005.37,19482842.81,37199618.54,38588779.59,38588779.59
19,4250943.895,10656833.66,9188223.421,12533238.2,21235210.27,36192350.76,38161598.42,38161598.42
21,4524921.19,11060313.46,9449648.69,12903494.75,23400970.62,35956283.94,36973116.19,36973116.19
23,4512841.783,11399728.3,9611036,13498735.89,23333549.65,40796421.3,42506866,42506866
25,4527842.76,11732011.04,9834214.96,13877098.49,25326513.21,40828241.25,42762497.72,42762497.72
27,4465707.185,12372341.23,10104448.96,14626768.72,28338225.68,42422991.47,43471771,43471771
29,4515552.172,12514200.17,10473385.57,15003115.9,27859214.14,43521957.63,45207311.17,45207311.17
31,4432220.742,12843021.57,10645544.21,15611990.31,28399143.68,47826750.36,50640650.94,50640650.94
33,4558315.576,15134067.53,11831449.98,18004543.48,34804458.32,83134894.5,89197258.97,89197258.97
35,4761811.886,15393812.03,12006211.21,18904999.96,38025563.9,57663458.91,60111795.14,60111795.14
37,4842874.568,15317831.66,12112915.46,18703345.22,36445284.08,59196726.3,61502585.41,61502585.41
39,4641780.897,22189034.82,12188156.38,19360186.4,42616712.64,630539534.4,760916122.3,760916122.3
41,4871478.488,17982582.86,13797345.41,22847953.74,44137095.62,76042549.81,79772847,79772847
43,4984226.023,19540660.63,14518878.65,23369528.2,48614486.75,126581426.4,137018294,137018294
45,5033859.2,30597300.3,17836627.31,30477984.64,66237119.12,715323160,860588405.5,860588405.5
47,4734094.957,20109112.87,15873406.54,25565150.49,50251547.24,86139030.73,90532589.28,90532589.28
49,4980839.592,21287032.75,16274308.87,26961374.3,54484153.91,92076670.84,95860357.06,95860357.06
51,5087572.863,26567377.47,19726389.46,34049647.93,69708979.24,138278392.9,146429197.9,146429197.9
53,4996874.34,25002951.85,18515968.79,31844826.68,64984429.28,152999949.5,168650688.4,168650688.4
57,5148990.281,30383226.84,20002445.43,34946459.58,78232753.76,321213142.3,399507275.8,399507275.8
